Atopobium rimae,Lancefieldella rimae
Atopobium vaginae,Fannyhessea vaginae
Atopostipes suicloacale,Atopostipes suicloacalis
Aurantimonas altamirensis,Aureimonas altamirensis
Aurantimonas frigidaquae,Aureimonas frigidaquae
Aurantimonas ureilytica,Aureimonas ureilytica
Aureobacterium arabinogalactanolyticum,Microbacterium arabinogalactanolyticum
Aureobacterium barkeri,Microbacterium barkeri
Aureobacterium esteraromaticum,Microbacterium esteraromaticum
Aureobacterium flavescens,Microbacterium flavescens
Aureobacterium keratanolyticum,Microbacterium keratanolyticum
Aureobacterium liquefaciens,Microbacterium liquefaciens
Aureobacterium luteolum,Microbacterium luteolum
Aureobacterium resistens,Microbacterium resistens
Aureobacterium saperdae,Microbacterium saperdae
Aureobacterium schleiferi,Microbacterium schleiferi
Aureobacterium terrae,Microbacterium terrae
Aureobacterium terregens,Microbacterium terregens
Aureobacterium testaceum,Microbacterium testaceum
Aureobacterium trichothecenolyticum,Microbacterium trichothecenolyticum
Aureobacterium unavailable,Microbacterium unavailable
Azoarcus anaerobius,Aromatoleum anaerobium
Azoarcus buckelii,Aromatoleum buckelii
Azoarcus evansii,Aromatoleum evansii
Azoarcus toluclasticus,Aromatoleum toluclasticum
Azoarcus tolulyticus,Aromatoleum tolulyticum
Azoarcus toluvorans,Aromatoleum toluvorans
Azomonotrichon macrocytogenes,Azomonas macrocytogenes
Azomonotrichon unavailable,Azomonas unavailable
Azospirillum amazonense,Nitrospirillum amazonense
Azospirillum brasiliense,Azospirillum brasilense
Azospirillum irakense,Niveispirillum irakense
Azospirillum largomobile,Azospirillum largimobile
Azotobacter macrocytogenes,Azomonas macrocytogenes
Azotobacter nigricans,Azotobacter nigricans
Azotobacter paspali,Azorhizophilus paspali
Bacillus acidocaldarius,Alicyclobacillus acidocaldarius
Bacillus acidoterrestris,Alicyclobacillus acidoterrestris
Bacillus agaradhaerens,Salipaludibacillus agaradhaerens
Bacillus agri,Brevibacillus agri
Bacillus alginolyticus,Paenibacillus alginolyticus
Bacillus alkalidiazotrophicus,Anaerobacillus alkalidiazotrophicus
Bacillus alvei,Paenibacillus alvei
Bacillus amyloliquefaciens,Bacillus amyloliquefaciens
Bacillus amyloliquefaciens,Bacillus velezensis
Bacillus amylolyticus,Paenibacillus amylolyticus
Bacillus arenosi,Viridibacillus arenosi
Bacillus arseniciselenatis,Anaerobacillus arseniciselenatis
Bacillus arsenicoselenatis,Anaerobacillus arseniciselenatis
Bacillus arsenicus,Fictibacillus arsenicus
Bacillus arvi,Viridibacillus arvi
Bacillus axarquiensis,Bacillus halotolerans
Bacillus azotofixans,Paenibacillus durus
Bacillus badius,Bacillus encimensis
Bacillus barbaricus,Fictibacillus barbaricus
Bacillus beijingensis,Bhargavaea beijingensis
Bacillus borstelensis,Brevibacillus borstelensis
Bacillus brevis,Brevibacillus brevis
Bacillus centrosporus,Brevibacillus centrosporus
Bacillus chitinolyticus,Paenibacillus chitinolyticus
Bacillus chondroitinus,Paenibacillus chondroitinus
Bacillus choshinensis,Brevibacillus choshinensis
Bacillus cibi,Bacillus indicus
Bacillus curdlanolyticus,Paenibacillus curdlanolyticus
Bacillus cycloheptanicus,Alicyclobacillus cycloheptanicus
Bacillus dipsosauri,Gracilibacillus dipsosauri
Bacillus edaphicus,Paenibacillus edaphicus
